Accession	Strain	HorizontalCov	MeanDepth
NC_023674.1	Porcine astrovirus 2	62.6622348844571	20.972776194998417
MK460230.1	Porcine astrovirus 2	41.077545935845535	77.01806290875116
MG930777.1	Porcine astrovirus 2	77.09505941213258	88.70997498436523
KP982872.1	Porcine astrovirus 2	58.118718592964825	46.36652010050251
KJ495986.1	Porcine astrovirus 2	66.48151087129027	57.79336613235994
KP759770.1	Porcine astrovirus 2	46.18176080782581	40.40485957715368
JX556690.1	Porcine astrovirus 2	64.55636248815914	62.879223239658984
JF713710.1	Porcine astrovirus 2	52.21589110478	22.174897119341562
JF713712.1	Porcine astrovirus 2	56.82604592639194	17.301352626612143
NC_023675.1	Porcine astrovirus 4	65.58216598885375	178.3480945925591
MK613068.1	Porcine astrovirus 4	74.33536313678894	460.89781672360016
MK460231.1	Porcine astrovirus 4	93.83365919687171	550.4173559933824
MH425243.1	Porcine astrovirus 4	71.23287671232876	612.3642048838594
KX060808.1	Porcine astrovirus 4	72.18543046357617	319.93543046357615
KX060809.1	Porcine astrovirus 4	70.9551656920078	245.43994601889338
KU764484.1	Porcine astrovirus 4	44.02621152087779	27.332825358122523
KU764485.1	Porcine astrovirus 4	51.11246571167327	25.546479731789088
KU764486.1	Porcine astrovirus 4	59.1012947448591	31.315765422696117
JX556692.1	Porcine astrovirus 4	67.14307206258464	813.6414924025877
JF713713.1	Porcine astrovirus 4	65.34116583822865	175.92423557764724
NC_030653.1	Atypical porcine pestivirus	2.1635496883021634	0.021635496883021636
MN080493.1	Atypical porcine pestivirus	6.430251807963754	0.06430251807963754
MH307700.1	Atypical porcine pestivirus	4.62962962962963	0.046296296296296294
MK453045.1	Atypical porcine pestivirus	2.0494638533379455	0.020494638533379454
NC_023673.1	Porcine bocavirus	66.91943127962085	5.639620853080569
MW051666.1	Porcine bocavirus	55.20200962947457	6.731002721373247
MW051667.1	Porcine bocavirus	65.61322729175387	54.5569275847635
MT321513.1	Porcine bocavirus	47.144006436041835	7.829243765084473
